user,time,text,favourite_count,retweet_count,lang,description,country,tweet_type,user_type,ibm_score
Vanprobsolution,10/5/2020 20:51,"rt : in as much as you eat daily, it becomes mandatory to see to it, that your food is safe before consumption. remember you arâ¦",0,3,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.385358
Vanprobsolution,10/5/2020 20:50,"rt : thank you, , for sharing how our new entreã©s are the perfect solution for those days you just don't feelâ¦",0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.991698
Vanprobsolution,10/5/2020 19:51,rt : food safety culture starts with the hiring process https://t.co/rvsvesnllk foodsafety,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/5/2020 19:50,rt : adulteration concerns rise along with curcuminâs popularity https://t.co/llq5tjmqjh foodfraud foodsafety,0,2,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/5/2020 16:51,rt : did you know children under five are most vulnerable to foodborne illness due to their immune systems still developing?â¦,0,12,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,-0.834673
Vanprobsolution,10/5/2020 13:51,"rt : ð±alejandro plascencia, certifications manager at agroexportadora del noroeste, shares the benefits of having foodsafetyâ¦",0,2,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.867618
Vanprobsolution,10/5/2020 12:50,"rt : during lockdown our community nutrition team  produced online foodsafety modules, quizzes &amp; posters toâ¦",0,4,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/5/2020 11:51,rt : view new lc/ms/ms advances in the screening of meat. download this workflow for free now! foodsafety https://t.co/hyrukcymlk hâ¦,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/5/2020 11:51,"rt : fry whatever you like! as long as the oilâs good. simple and reliable cooking oil testing with testo 270. 

find out moreâ¦",0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.96247
Vanprobsolution,10/5/2020 8:50,rt _eu: our panel on biologicalhazards provides scientific advice on biological hazards in relation to foodsafety and foodbornediseâ¦,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/5/2020 5:50,rt _rajkot:  monarch appliances  packing machine   we care for your health   food  so packing the foodsafety and product  â¦,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.892655
Vanprobsolution,10/4/2020 23:50,rt _katoch: the coming week will mark worldfoodday on oct 16: https://t.co/cekxcpsjfw. global minnesota is featuring presentationâ¦,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/4/2020 11:51,rt : risk analyses of food safety emergencies call for reliable and accurate data. âs data tools assess and help you mâ¦,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.331377
Vanprobsolution,10/4/2020 9:51,rt _safety: a chart to ensure the fish you eat is safe. best choices have lowest levels of mercury. fish should be cooked to 63â°c fâ¦,0,3,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.812694
Vanprobsolution,10/4/2020 8:50,"rt : are smell, taste, and appearance of food the indicators of food safety?

comment your answer below.

foxprotechnologiesâ¦",0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,-0.464291
Vanprobsolution,10/4/2020 1:50,rt : so will  and the  be ensuring that all food permits are in place for this encampment? â¦,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.57944
Vanprobsolution,10/3/2020 19:51,"rt : the food safety audit â august 28th-30th, 2020 https://t.co/fjqnop4e5w foodsafety",0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/3/2020 19:51,rt : food safety culture starts with the hiring process https://t.co/rvsvesvjwk foodsafety,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/3/2020 19:50,rt : each food has a specific safe internal temperature at which it should be served at ð¡. research these temperatures before cookâ¦,0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.293763
Vanprobsolution,10/3/2020 17:51,"rt : football season is here ðð 
make sure your game day gatherings are memorable and safe by following these easy food safeâ¦",0,3,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.946944
Vanprobsolution,10/3/2020 12:50,"rt _usa: we're open for business in tacoma!

looking for frozen storage in the seatac area? is food safety a priority for you? pleaâ¦",0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.0
Vanprobsolution,10/3/2020 11:51,"rt _hq: in need of cold storage in the usa?
taking into account all measures relevant for food safety, our automated facilities inâ¦",0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,-0.302184
Vanprobsolution,10/3/2020 10:50,"rt _mutegi: large or small, every food business needs effective training for staff on proper foodsafety practices. 
join us on octâ¦",0,7,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,0.763694
Vanprobsolution,10/3/2020 3:51,"rt : food safety (if it's not safe, it's not food).

fao foodsafety https://t.co/tysmpnapqo",0,1,en,New Technology Products for #Food #Pharma #Retail #Packaging #Paper #Coldchain #Cleaning #Fitness Ind. like #Labels #Stain #Coating #Tracking #Logger #AlarmLock,NG,RT,o,-0.763799
